#,Date,Year,Time,Latitude,Longitude,Max Winds (kt),SS HWS,RMW nm,Central Prssure (mb),States Affected,Name,Category,Adjusted Costs,County,State,FIPS code,Annual HPI Change (%),HPI,County & State,PerCapita Income,Year -2,Year -1,Year +1,Year +2,Year +3,Annual HPI Change (%) -1,Annual HPI Change (%) +1,Annual HPI Change (%) +2,Annual HPI Change (%) +3,PerCapita Income -2,PerCapita Income -1,PerCapita Income +1,PerCapita Income +2,PerCapita Income +3,Annual Income Change (%) -1,Annual Income Change (%),Annual Income Change (%) +1,Annual Income Change (%) +2,Annual Income Change (%) +3,National HPI AC Mean,National HPI AC Mean -1,National HPI AC Mean +1,National HPI AC Mean +2,National HPI AC Mean +3,State HPI AC Mean,State HPI AC Mean -1,State HPI AC Mean +1,State HPI AC Mean +2,State HPI AC Mean +3,State Income AC Mean,State Income AC Mean -1,State Income AC Mean +1,State Income AC Mean +2,State Income AC Mean +3
18.0,9/24/05,2005,0740Z,29.7,-93.7,100.0,3.0,20,937,"LA3,CTX2",Rita,3.0,$29.2B,Cameron,LA,22023,0.0,123.67,"Cameron, LA",2190.18,2003.0,2004.0,2006.0,2007.0,2008.0,6.12,17.58,-0.1,12.28,1893.77,2033.39,2171.19,2585.71,2845.57,7.372595404933023,7.710768716281664,-0.8670520231213773,19.09183443180928,10.049850911355108,8.569650769808487,6.075588124765126,7.014054763690923,3.409300934579439,-0.42653387937453463,5.567833333333334,4.916333333333333,9.128688524590164,6.084754098360656,2.4455737704918032,7.790879567940848,6.244772286610694,6.629701140179696,8.895357247513699,7.889208843519433
25.0,10/24/05,2005,1030Z,25.9,-81.7,105.0,3.0,25,950,"BFL3,CFL2",Wilma,3.0,$30.0B,Collier,FL,12021,37.1,900.24,"Collier, FL",177418.63,2003.0,2004.0,2006.0,2007.0,2008.0,17.4,21.22,-8.59,-25.71,135637.5,155917.51,203096.93,212208.89,213435.6,14.951624735047467,13.790061167600737,14.473282766302496,4.48650799399086,0.5780672053842757,8.569650769808487,6.075588124765126,7.014054763690923,3.409300934579439,-0.42653387937453463,25.84709677419355,14.804032258064517,15.53,-0.9984375,-11.530307692307693,8.239805656382662,8.75372569212082,4.906719297554637,3.6627476935470904,2.2231329052069957
7.0,9/1/08,2008,1500Z,29.2,-90.7,90.0,2.0,25,954,LA2,Gustav,2.0,$8.6B,Terrebonne,LA,22109,4.42,325.59,"Terrebonne, LA",44559.06,2006.0,2007.0,2009.0,2010.0,2011.0,8.64,0.82,-0.77,-0.95,36773.19,41560.39,42713.61,43276.4,43854.88,13.018179820679132,7.215211406822694,-4.141581981307499,1.3175894053441066,1.3367100775480307,-0.42653387937453463,3.409300934579439,-3.088734648306662,-3.484283074648928,-2.4660451350351464,2.4455737704918032,6.084754098360656,-0.43655737704918035,-0.658360655737705,-0.29409836065573774,7.889208843519433,8.895357247513699,-0.89155623496192,4.2108328695931165,3.2455329967574187
9.0,9/13/08,2008,0700Z,29.3,-94.7,95.0,2.0,30,950,"CTX2,LA1",Ike,2.0,$43.2B,Galveston,TX,48167,-0.81,302.61,"Galveston, TX",116483.93,2006.0,2007.0,2009.0,2010.0,2011.0,2.08,0.45,-3.08,-1.48,102178.8,111158.67,117392.87,121469.24,129770.63,8.788388589413847,4.79068344376556,0.7803136449809019,3.472417021578917,6.834149946109813,-0.42653387937453463,3.409300934579439,-3.088734648306662,-3.484283074648928,-2.4660451350351464,3.000174418604651,6.661235294117647,0.3605813953488372,-0.6644571428571429,-0.12137142857142856,9.688166664720628,5.669987191730879,-4.218799592562374,7.9913879621598305,7.610491712382367
9.0,8/27/11,2011,1200Z,34.7,-76.6,75.0,1.0,45,952,NC1,Irene,1.0,$18.8B,Carteret,NC,37031,-5.33,296.9,"Carteret, NC",27376.42,2009.0,2010.0,2012.0,2013.0,2014.0,-6.57,-2.22,-2.85,-0.65,25779.8,26722.04,28334.14,27847.59,29215.9,3.6549546544193583,2.448839983773684,3.498339081589197,-1.71718640481059,4.913567026805556,-2.4660451350351464,-3.484283074648928,-0.7114877868245744,1.6489564896755162,3.052905604719764,-3.9024242424242424,-4.627777777777777,-2.5305050505050506,-0.44585858585858584,-0.017373737373737354,2.7766292121475016,2.1279889318499943,4.501227777723949,-0.08337404210865457,4.373825874555141
9.0,8/29/12,2012,0000Z,28.9,-89.4,70.0,1.0,40,967,LA1,Isaac,1.0,$3.8B,Plaquemines,LA,22075,2.21,201.05,"Plaquemines, LA",10288.14,2010.0,2011.0,2013.0,2014.0,2015.0,-3.35,1.58,1.58,-1.3,10114.92,9710.07,10240.44,10684.53,10739.38,-4.002503232848113,5.953304147137969,-0.463640658078126,4.336630066676824,0.513359034042663,-0.7114877868245744,-2.4660451350351464,1.6489564896755162,3.052905604719764,3.1824750277469476,0.35983606557377046,-0.29409836065573774,2.2662295081967216,2.859016393442623,2.1788524590163934,3.5534717491729797,3.2455329967574187,1.5165898464266863,1.769572938724627,-0.08635552398043879
9.0,8/29/12,2012,0800Z,29.2,-90.2,70.0,1.0,40,966,LA1,Isaac,1.0,$3.8B,Lafourche,LA,22057,-0.28,245.98,"Lafourche, LA",41433.23,2010.0,2011.0,2013.0,2014.0,2015.0,-0.32,1.63,1.88,2.49,40165.39,39433.74,42609.92,44880.22,43979.53,-1.8215931676500623,5.07050561270629,2.839966857519906,5.328102000660886,-2.006875189114497,-0.7114877868245744,-2.4660451350351464,1.6489564896755162,3.052905604719764,3.1824750277469476,0.35983606557377046,-0.29409836065573774,2.2662295081967216,2.859016393442623,2.1788524590163934,3.5534717491729797,3.2455329967574187,1.5165898464266863,1.769572938724627,-0.08635552398043879
14.0,10/8/16,2016,1500Z,33.0,-79.5,85.0,2.0,---,963,"DFL2, GA1, SC1, NC1",Matthew,1.0,$13.0B,Charleston,SC,45019,8.61,894.83,"Charleston, SC",220310.39,2014.0,2015.0,2017.0,2018.0,2019.0,8.71,8.94,5.59,3.94,192321.81,208627.92,233014.22,243575.1,267641.15,8.478554772337061,5.599667580446567,5.766332672735039,4.532289917756953,9.880340806593129,3.5603666666666665,3.1824750277469476,3.9664473197781884,4.865477683511619,4.482849760059063,2.8,4.026666666666666,3.536,4.824888888888889,5.964666666666666,3.199018358626354,4.803469107743948,4.279235370712518,3.9166049665214726,5.481000503247833
9.0,8/26/17,2017,0300Z,28.0,-96.9,115.0,4.0,10,937,BTX4,Harvey,4.0,$160.0B,Aransas,TX,48007,0.94,332.22,"Aransas, TX",11622.89,2015.0,2016.0,2018.0,2019.0,2020.0,6.07,6.03,9.12,4.89,11923.12,11090.57,11929.05,12750.11,13644.53,-6.982652191708219,4.799753303932978,2.6341125141853694,6.882861585792677,7.014998301975433,3.9664473197781884,3.5603666666666665,4.865477683511619,4.482849760059063,3.5173930678466077,4.220342857142857,4.924425287356322,5.740852272727273,4.8889265536723165,3.905762711864407,5.940711909247668,-2.5630964756727144,4.773665932217061,5.581092756003598,6.612803064929485
11.0,9/10/17,2017,1300Z,24.7,-81.5,115.0,4.0,10,931,"BFL4,CFL1",Irma,4.0,$64.0B,Monroe,FL,12087,4.12,838.55,"Monroe, FL",65578.63,2015.0,2016.0,2018.0,2019.0,2020.0,12.35,5.4,6.4,3.44,54674.44,59740.58,72521.61,77698.0,78574.45,9.2660116866309,9.77233565526147,10.58725990463661,7.137720742824103,1.1280213132899135,3.9664473197781884,3.5603666666666665,4.865477683511619,4.482849760059063,3.5173930678466077,7.2229230769230774,7.050461538461538,8.252615384615384,6.013538461538461,5.477692307692308,6.510305586033728,3.6641599342818796,5.556018590786729,5.668074573972916,8.698231433701551
11.0,9/10/17,2017,1930Z,25.9,-81.7,100.0,3.0,15,936,"BFL4,CFL1",Irma,4.0,$64.0B,Collier,FL,12021,4.34,834.56,"Collier, FL",332818.22,2015.0,2016.0,2018.0,2019.0,2020.0,9.75,5.92,3.51,4.0,289359.24,304233.35,373553.66,396000.11,418770.33,5.140361164896613,9.395705631877634,12.239546260418075,6.008895750077784,5.750053958318353,3.9664473197781884,3.5603666666666665,4.865477683511619,4.482849760059063,3.5173930678466077,7.2229230769230774,7.050461538461538,8.252615384615384,6.013538461538461,5.477692307692308,6.510305586033728,3.6641599342818796,5.556018590786729,5.668074573972916,8.698231433701551
6.0,9/14/18,2018,1115Z,34.2,-77.8,80.0,1.0,25,956,NC1,Florence,1.0,$30.0B,New Hanover,NC,37129,6.04,609.12,"New Hanover, NC",106368.63,2016.0,2017.0,2019.0,2020.0,2021.0,7.07,6.5,5.48,12.45,94992.51,98647.4,112912.71,122495.66,137759.49,3.847555980992606,7.827099345750634,6.152265005199372,8.487042778443628,12.460710852939595,4.865477683511619,3.9664473197781884,4.482849760059063,3.5173930678466077,10.929004392386531,5.15969696969697,3.3574747474747473,4.8241414141414145,4.486161616161616,12.284444444444444,3.285651448615606,4.288793203177842,5.992946111920173,7.708482508685926,10.683217475367968
14.0,10/10/18,2018,1730Z,30.0,-85.5,140.0,5.0,10,919,"AFL5,I-GA2,AL1",Michael,5.0,$31.0B,Bay,FL,12005,10.55,600.88,"Bay, FL",79385.13,2016.0,2017.0,2019.0,2020.0,2021.0,3.8,8.19,6.09,11.43,74940.33,76149.67,81159.66,87372.81,98074.17,1.6137372226676832,4.248816836632393,2.235343067398137,7.655465781892129,12.24792930432248,4.865477683511619,3.9664473197781884,4.482849760059063,3.5173930678466077,10.929004392386531,8.252615384615384,7.2229230769230774,6.013538461538461,5.477692307692308,14.659538461538462,5.556018590786729,6.510305586033728,5.668074573972916,8.698231433701551,11.244860035350314
